id,latitude,longitude
ZH,47.3769,8.5417
BE,46.9480,7.4474
LU,47.0502,8.3093
UR,46.7739,8.6025
SZ,47.0207,8.6530
OW,46.8779,8.2512
NW,46.9267,8.3850
GL,47.0411,9.0679
ZG,47.1662,8.5155
FR,46.8065,7.1620
SO,47.2088,7.5323
BS,47.5619,7.5928
BL,47.4418,7.7644
SH,47.6959,8.6380
AR,47.3665,9.3001
AI,47.3162,9.4317
SG,47.4245,9.3767
GR,46.6570,9.5780
AG,47.3877,8.2554
TG,47.6038,9.0557
TI,46.3317,8.8005
VD,46.5613,6.5368
VS,46.1905,7.5449
NE,46.9900,6.9293
GE,46.2044,6.1432
JU,46.7625,5.6729
